Start,End,Open,High,Low,Close,Volume,Market Cap
30/12/2023,31/12/2023,42070.91,42570.01,41539.76,42198.85,34749601493,8.24737E+11
29/12/2023,30/12/2023,42563.72,43033.78,41683.16,42057.41,35226725843,8.30554E+11
28/12/2023,29/12/2023,43435.28,43730.03,42321.07,42592.06,35344996355,8.40558E+11
27/12/2023,28/12/2023,42508.97,43624.64,42154.05,43384.25,33673429435,8.385E+11
26/12/2023,27/12/2023,43576.08,43576.08,41723.24,42519.8,32193618868,8.36406E+11
25/12/2023,26/12/2023,42972.39,43725.61,42764,43613.88,27513077611,8.48417E+11
24/12/2023,25/12/2023,43702.13,43927.88,42850.2,43017.9,20946516344,8.54045E+11
23/12/2023,24/12/2023,43956.76,43975.78,43351.06,43727.32,26907189863,8.55128E+11
22/12/2023,23/12/2023,43861.77,44358.59,43429.95,43948.89,35933013764,8.57467E+11
21/12/2023,22/12/2023,43661.99,44206.01,43296.11,43849.41,41912480831,8.56026E+11
20/12/2023,21/12/2023,42270.92,44279.96,42225.37,43645.95,36592551109,8.45177E+11
19/12/2023,20/12/2023,42657.76,43314.73,41846.62,42300.16,40118803132,8.36099E+11
18/12/2023,19/12/2023,41374.65,42714.97,40660.03,42666.06,33200312603,8.10385E+11
17/12/2023,18/12/2023,42278.01,42418.39,41298.47,41448.75,24403669116,8.21166E+11
16/12/2023,17/12/2023,41934.6,42697.9,41725.94,42244.61,29546881907,8.27594E+11
15/12/2023,16/12/2023,43022.22,43078.69,41742.32,41953.42,38137174910,8.31255E+11
14/12/2023,15/12/2023,42866.86,43357.6,41938.38,43004.17,42951564228,8.38439E+11
13/12/2023,14/12/2023,41492.36,43354.3,40693.86,42906.87,37987604127,8.14452E+11
12/12/2023,13/12/2023,41258.82,42045.96,40700.59,41512.61,49048167064,8.13013E+11
11/12/2023,12/12/2023,43789.48,43804.42,40375.19,41221.12,43861781610,8.2045E+11
10/12/2023,11/12/2023,43713.6,44032.99,43610.02,43762.68,25480214581,8.57358E+11
09/12/2023,10/12/2023,44171.04,44344.36,43629.98,43701.25,34949278292,8.6125E+11
08/12/2023,09/12/2023,43275.13,44614.01,43129.99,44199.33,39750657918,8.54131E+11
07/12/2023,08/12/2023,43766.57,44045.95,43011.1,43249.99,41104564561,8.52057E+11
06/12/2023,07/12/2023,44072.29,44269.99,43454,43714.53,58562982567,8.58288E+11
05/12/2023,06/12/2023,41991.56,44413.99,41437.9,44085.68,49528316257,8.29378E+11
04/12/2023,05/12/2023,39972.22,42386.31,39972.22,41995.8,45201233924,8.10351E+11
03/12/2023,04/12/2023,39453.73,40108.54,39288.24,39941.07,26254626062,7.73503E+11
02/12/2023,03/12/2023,38682.56,39652.7,38641.63,39460,28359905974,7.6071E+11
01/12/2023,02/12/2023,37712.36,38959.11,37624.65,38658.06,29142859066,7.51075E+11
30/11/2023,01/12/2023,37854.66,38143.94,37530.89,37715.02,28133746903,7.38851E+11
29/11/2023,30/11/2023,37832.67,38345.98,37623.01,37808.01,68380861882,7.42004E+11
28/11/2023,29/11/2023,37241.07,38273.7,36896.17,37776.89,75091400151,7.31986E+11
27/11/2023,28/11/2023,37442.96,37547.98,36754.04,37268.83,61565626038,7.26567E+11
26/11/2023,27/11/2023,37780.68,37814.65,37178.74,37478.11,37752415504,7.3504E+11
25/11/2023,26/11/2023,37711.07,37868.05,37598.72,37785.84,69914110442,7.38198E+11
24/11/2023,25/11/2023,37294.24,38378.84,37262.01,37710.8,63980426347,7.35907E+11
23/11/2023,24/11/2023,37405.3,37635.03,36912.95,37294.4,81239924210,7.29536E+11
22/11/2023,23/11/2023,35769.16,37799.92,35769.16,37448.77,1.06063E+11,7.16625E+11
21/11/2023,22/11/2023,37448.81,37602.23,35942.19,35942.19,84297006476,7.25845E+11
20/11/2023,21/11/2023,37349.99,37715.45,36907.91,37465.89,60307893597,7.28822E+11
19/11/2023,20/11/2023,36566.86,37480.34,36400.01,37388.51,40323738068,7.16127E+11
18/11/2023,19/11/2023,36621.91,36807.23,36228.17,36559.41,65233267011,7.13204E+11
17/11/2023,18/11/2023,36166.13,36671.18,35941.81,36514.01,89470470461,7.10576E+11
16/11/2023,17/11/2023,37857.91,37869.84,35547.05,36223.54,1.01367E+11,7.21967E+11
15/11/2023,16/11/2023,35551.22,37863.66,35390.38,37863.66,86986645725,7.08394E+11
14/11/2023,15/11/2023,36466.8,36733.34,35150.03,35540.04,73074282461,7.07837E+11
13/11/2023,14/11/2023,37064.08,37337.76,36414.24,36531.68,52369620885,7.20422E+11
12/11/2023,13/11/2023,37132.82,37206.05,36754.31,37035.03,51910456415,7.24387E+11
11/11/2023,12/11/2023,37291.12,37396.29,36788.62,37082.17,76722189583,7.24301E+11
10/11/2023,11/11/2023,36690.24,37445.02,36389.43,37321.14,1.22321E+11,7.21664E+11
09/11/2023,10/11/2023,35620.89,37896.08,35586.65,36775.23,1.0796E+11,7.14919E+11
08/11/2023,09/11/2023,35403.49,35899.37,35161.17,35680.29,74213990139,6.91478E+11
07/11/2023,08/11/2023,35041.66,35853.1,34567.74,35423.24,60331832974,6.8306E+11
06/11/2023,07/11/2023,35011.91,35276.36,34738.19,35019.43,63144740589,6.83663E+11
05/11/2023,06/11/2023,35062.06,35311.03,34604.42,35022.44,43093136541,6.84411E+11
04/11/2023,05/11/2023,34716.8,35208.5,34593.44,35019.68,55955346235,6.79032E+11
03/11/2023,04/11/2023,34929.22,34929.22,34130.74,34730.03,79432467912,6.74414E+11
02/11/2023,03/11/2023,35421.42,35882.72,34455.34,34918.05,99037559847,6.86523E+11
01/11/2023,02/11/2023,34642.97,35517.42,34191.59,35428.26,69941173386,6.75548E+11
31/10/2023,01/11/2023,34474.74,34664.97,34089.59,34650.03,63716251715,6.71545E+11
30/10/2023,31/10/2023,34522.35,34826.34,34081.95,34486.77,52507686363,6.72583E+11
29/10/2023,30/10/2023,34082,34716.85,33958.65,34535.58,36770834872,6.6982E+11
28/10/2023,29/10/2023,33892.03,34389.96,33862.69,34088.4,54952706850,6.65584E+11
27/10/2023,28/10/2023,34151.63,34245,33439.18,33910.02,68530016599,6.63157E+11
26/10/2023,27/10/2023,34494.38,34800.64,33770.04,34148.86,86077807429,6.70335E+11
25/10/2023,26/10/2023,33915.21,35096.27,33786,34464.23,1.21054E+11,6.70279E+11
24/10/2023,25/10/2023,33062.93,34986.96,32879.2,33856,1.73334E+11,6.65645E+11
23/10/2023,24/10/2023,29989.04,34063.21,29892.17,32941.46,59300815030,6.0321E+11
22/10/2023,23/10/2023,29909.78,30162.17,29747.9,29965.01,42841417581,5.8388E+11
21/10/2023,22/10/2023,29669.08,30205.02,29470.81,29894.16,54234859744,5.81554E+11
20/10/2023,21/10/2023,28717.81,30023.31,28594.81,29665.02,64765591152,5.74374E+11
19/10/2023,20/10/2023,28320.02,28865.26,28183.07,28695.97,43605092993,5.55871E+11
18/10/2023,19/10/2023,28395.92,28794.04,28190.5,28322.73,52104621440,5.54308E+11
17/10/2023,18/10/2023,28500.82,28596.46,28117.74,28407.42,75291272170,5.5401E+11
16/10/2023,17/10/2023,27154.1,29291.74,27124.05,28502.1,46414178108,5.44605E+11
15/10/2023,16/10/2023,26852.47,27271.37,26823.21,27146.62,20894691267,5.25682E+11
14/10/2023,15/10/2023,26862,26968.05,26807.54,26858.7,29481994961,5.24554E+11
13/10/2023,14/10/2023,26759.66,27055.95,26697.05,26841.72,28991540610,5.23287E+11
12/10/2023,13/10/2023,26876.31,26928.73,26577.4,26738.45,27178555017,5.22249E+11
11/10/2023,12/10/2023,27389.13,27467.7,26548.13,26844.46,26211489298,5.27085E+11
